id,firmano,yetkiid,bolumid,frmid,kontid,havuz,deguser,degtarsaat,olususer,olustarsaat,Modul,Rap_id
411,,2,6,34,1072,,,,,,,
412,,2,6,34,1074,,,,,,,
413,,2,6,34,1075,,,,,,,
414,,2,6,34,1076,,,,,,,
415,,2,6,34,1077,,,,,,,
416,,2,6,34,1078,,,,,,,
417,,2,6,34,1094,,,,,,,
418,,2,6,34,1095,,,,,,,
419,,2,6,34,1096,,,,,,,
420,,2,6,34,1097,,,,,,,
421,,2,6,34,1098,,,,,,,
422,,2,6,34,1099,,,,,,,
423,,2,6,34,1102,,,,,,,
424,,2,6,34,1103,,,,,,,
425,,2,6,34,1105,,,,,,,
426,,2,6,34,1493,,,,,,,
427,,2,6,35,1108,,,,,,,
428,,2,6,35,1125,,,,,,,
429,,2,6,35,1127,,,,,,,
430,,2,6,35,1128,,,,,,,
431,,2,6,36,1143,,,,,,,
432,,2,6,36,1150,,,,,,,
433,,2,6,36,1151,,,,,,,
434,,2,6,36,1152,,,,,,,
435,,2,6,36,1153,,,,,,,
436,,2,6,36,1154,,,,,,,
437,,2,6,36,1155,,,,,,,
438,,2,6,36,1156,,,,,,,
439,,2,6,36,1157,,,,,,,
440,,2,6,36,1158,,,,,,,
441,,2,6,36,1159,,,,,,,
442,,2,6,36,1160,,,,,,,
443,,2,6,36,1163,,,,,,,
444,,2,6,36,1165,,,,,,,
445,,2,6,36,1166,,,,,,,
446,,2,6,37,1184,,,,,,,
447,,2,6,37,1185,,,,,,,
448,,2,6,37,1187,,,,,,,
449,,2,6,37,1188,,,,,,,
450,,2,6,37,1189,,,,,,,
451,,2,6,37,1191,,,,,,,
452,,2,6,37,1192,,,,,,,
453,,2,6,37,1193,,,,,,,
454,,2,6,37,1196,,,,,,,
455,,2,6,37,1198,,,,,,,
456,,2,6,37,1199,,,,,,,
457,,2,6,37,1494,,,,,,,
458,,2,6,38,1213,,,,,,,
459,,2,6,38,1214,,,,,,,
460,,2,6,38,1215,,,,,,,
461,,2,6,38,1217,,,,,,,
462,,2,6,38,1218,,,,,,,
463,,2,6,38,1219,,,,,,,
464,,2,6,38,1220,,,,,,,
465,,2,6,38,1221,,,,,,,
466,,2,6,38,1222,,,,,,,
467,,2,6,38,1223,,,,,,,
468,,2,6,38,1225,,,,,,,
469,,2,6,38,1228,,,,,,,
470,,2,6,38,1231,,,,,,,
471,,2,6,38,1233,,,,,,,
472,,2,6,38,1234,,,,,,,
473,,2,6,81,1389,,,,,,,
474,,2,6,81,1390,,,,,,,
475,,2,6,81,1391,,,,,,,
476,,2,6,81,1392,,,,,,,
477,,2,6,81,1393,,,,,,,
478,,2,6,81,1394,,,,,,,
479,,2,6,81,1395,,,,,,,
480,,2,6,81,1396,,,,,,,
481,,2,6,81,1397,,,,,,,
482,,2,6,81,1398,,,,,,,
483,,2,6,81,1399,,,,,,,
